filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
include/llvm/ADT/Statistic.h,27,16,0.593,10,2,0.2,11,7,0.636
include/llvm/ADT/StringExtras.h,199,188,0.945,104,85,0.8170000000000001,105,91,0.867
include/llvm/ADT/StringMap.h,192,184,0.958,80,69,0.862,1147,250,0.218
include/llvm/ADT/StringMapEntry.h,35,35,1.0,4,3,0.75,364,65,0.179
include/llvm/ADT/StringRef.h,234,231,0.987,116,106,0.914,127,102,0.8029999999999999
include/llvm/ADT/StringSet.h,9,6,0.667,2,0,0.0,5,4,0.8
include/llvm/ADT/StringSwitch.h,50,47,0.94,40,38,0.95,176,55,0.312
include/llvm/ADT/TinyPtrVector.h,161,143,0.888,112,78,0.696,101,64,0.634
include/llvm/ADT/Triple.h,156,70,0.449,164,41,0.25,70,35,0.5
include/llvm/ADT/Twine.h,154,139,0.903,87,63,0.7240000000000001,36,32,0.889
include/llvm/ADT/TypeSwitch.h,33,33,1.0,14,14,1.0,113,113,1.0
include/llvm/ADT/UniqueVector.h,18,8,0.444,6,1,0.16699999999999998,20,3,0.15
include/llvm/ADT/bit.h,3,3,1.0,0,0,,2,1,0.5
include/llvm/ADT/edit_distance.h,29,29,1.0,18,17,0.9440000000000001,1,1,1.0
include/llvm/ADT/fallible_iterator.h,53,52,0.981,22,16,0.727,47,34,0.723
include/llvm/ADT/identity.h,4,2,0.5,0,0,,3,2,0.667
include/llvm/ADT/ilist.h,77,67,0.87,26,18,0.6920000000000001,189,94,0.49700000000000005
include/llvm/ADT/ilist_base.h,45,45,1.0,6,4,0.667,61,35,0.574
include/llvm/ADT/ilist_iterator.h,40,30,0.75,6,3,0.5,393,192,0.489
include/llvm/ADT/ilist_node.h,61,42,0.6890000000000001,8,3,0.375,396,215,0.5429999999999999
include/llvm/ADT/ilist_node_base.h,13,13,1.0,0,0,,13,13,1.0
include/llvm/ADT/iterator.h,68,64,0.941,4,4,1.0,983,271,0.276
include/llvm/ADT/iterator_range.h,12,7,0.583,0,0,,1020,232,0.22699999999999998
include/llvm/ADT/simple_ilist.h,99,99,1.0,18,16,0.889,305,197,0.6459999999999999
include/llvm/Analysis/AliasAnalysis.h,167,0,0.0,22,0,0.0,222,0,0.0
include/llvm/Analysis/AliasAnalysisEvaluator.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/AliasSetTracker.h,100,0,0.0,44,0,0.0,40,0,0.0
include/llvm/Analysis/AssumeBundleQueries.h,13,0,0.0,8,0,0.0,7,0,0.0
include/llvm/Analysis/AssumptionCache.h,29,0,0.0,6,0,0.0,11,0,0.0
include/llvm/Analysis/BasicAliasAnalysis.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/BlockFrequencyInfo.h,3,0,0.0,0,0,,4,0,0.0
include/llvm/Analysis/BlockFrequencyInfoImpl.h,627,0,0.0,451,0,0.0,106,0,0.0
include/llvm/Analysis/BranchProbabilityInfo.h,25,0,0.0,10,0,0.0,14,0,0.0
include/llvm/Analysis/CFG.h,15,0,0.0,12,0,0.0,4,0,0.0
include/llvm/Analysis/CFGPrinter.h,132,0,0.0,52,0,0.0,24,0,0.0
include/llvm/Analysis/CFLAliasAnalysisUtils.h,18,0,0.0,10,0,0.0,9,0,0.0
include/llvm/Analysis/CFLAndersAliasAnalysis.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/CFLSteensAliasAnalysis.h,11,0,0.0,10,0,0.0,3,0,0.0
include/llvm/Analysis/CGSCCPassManager.h,8,0,0.0,2,0,0.0,5,0,0.0
include/llvm/Analysis/CallGraph.h,54,0,0.0,16,0,0.0,35,0,0.0
include/llvm/Analysis/CallGraphSCCPass.h,20,0,0.0,0,0,,13,0,0.0
include/llvm/Analysis/CaptureTracking.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/ConstraintSystem.h,15,0,0.0,10,0,0.0,3,0,0.0
include/llvm/Analysis/DDG.h,126,0,0.0,42,0,0.0,49,0,0.0
include/llvm/Analysis/DDGPrinter.h,4,0,0.0,2,0,0.0,2,0,0.0
include/llvm/Analysis/DOTGraphTraitsPass.h,50,0,0.0,8,0,0.0,49,0,0.0
include/llvm/Analysis/DemandedBits.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/DependenceAnalysis.h,31,0,0.0,10,0,0.0,27,0,0.0
include/llvm/Analysis/DependenceGraphBuilder.h,22,0,0.0,8,0,0.0,9,0,0.0
include/llvm/Analysis/DivergenceAnalysis.h,8,0,0.0,12,0,0.0,5,0,0.0
include/llvm/Analysis/DomTreeUpdater.h,6,0,0.0,0,0,,3,0,0.0
include/llvm/Analysis/DominanceFrontier.h,23,0,0.0,6,0,0.0,25,0,0.0
include/llvm/Analysis/DominanceFrontierImpl.h,104,0,0.0,64,0,0.0,16,0,0.0
include/llvm/Analysis/EHPersonalities.h,12,0,0.0,4,0,0.0,2,0,0.0
include/llvm/Analysis/GlobalsModRef.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/Analysis/IRSimilarityIdentifier.h,134,0,0.0,84,0,0.0,41,0,0.0
include/llvm/Analysis/IVDescriptors.h,34,0,0.0,26,0,0.0,18,0,0.0
include/llvm/Analysis/IVUsers.h,8,0,0.0,0,0,,4,0,0.0
include/llvm/Analysis/InlineAdvisor.h,20,0,0.0,4,0,0.0,13,0,0.0
include/llvm/Analysis/InlineCost.h,35,0,0.0,22,0,0.0,18,0,0.0
include/llvm/Analysis/InlineModelFeatureMaps.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/InlineSizeEstimatorAnalysis.h,1,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/InstSimplifyFolder.h,102,0,0.0,16,0,0.0,43,0,0.0
include/llvm/Analysis/InstructionPrecedenceTracking.h,9,0,0.0,0,0,,5,0,0.0
include/llvm/Analysis/InstructionSimplify.h,35,0,0.0,14,0,0.0,14,0,0.0
include/llvm/Analysis/Interval.h,25,0,0.0,8,0,0.0,12,0,0.0
include/llvm/Analysis/IntervalIterator.h,81,0,0.0,46,0,0.0,28,0,0.0
include/llvm/Analysis/IntervalPartition.h,6,0,0.0,2,0,0.0,3,0,0.0
include/llvm/Analysis/IteratedDominanceFrontier.h,13,0,0.0,6,0,0.0,5,0,0.0
include/llvm/Analysis/LazyBlockFrequencyInfo.h,19,0,0.0,8,0,0.0,6,0,0.0
include/llvm/Analysis/LazyBranchProbabilityInfo.h,11,0,0.0,6,0,0.0,4,0,0.0
include/llvm/Analysis/LazyCallGraph.h,176,0,0.0,90,0,0.0,69,0,0.0
include/llvm/Analysis/LazyValueInfo.h,5,0,0.0,2,0,0.0,3,0,0.0
include/llvm/Analysis/LoopAccessAnalysis.h,32,0,0.0,6,0,0.0,17,0,0.0
include/llvm/Analysis/LoopAnalysisManager.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/LoopCacheAnalysis.h,12,0,0.0,4,0,0.0,7,0,0.0
include/llvm/Analysis/LoopInfo.h,274,0,0.0,134,0,0.0,91,0,0.0
include/llvm/Analysis/LoopInfoImpl.h,327,0,0.0,260,0,0.0,37,0,0.0
include/llvm/Analysis/LoopIterator.h,41,0,0.0,16,0,0.0,19,0,0.0
include/llvm/Analysis/LoopNestAnalysis.h,7,0,0.0,2,0,0.0,4,0,0.0
include/llvm/Analysis/LoopPass.h,18,0,0.0,2,0,0.0,11,0,0.0
include/llvm/Analysis/MLInlineAdvisor.h,22,0,0.0,6,0,0.0,10,0,0.0
include/llvm/Analysis/MLModelRunner.h,8,0,0.0,0,0,,4,0,0.0
include/llvm/Analysis/MemoryBuiltins.h,20,0,0.0,12,0,0.0,10,0,0.0
include/llvm/Analysis/MemoryDependenceAnalysis.h,53,0,0.0,21,0,0.0,28,0,0.0
include/llvm/Analysis/MemoryLocation.h,92,0,0.0,36,0,0.0,37,0,0.0
include/llvm/Analysis/MemorySSA.h,276,0,0.0,128,0,0.0,115,0,0.0
include/llvm/Analysis/MemorySSAUpdater.h,4,0,0.0,2,0,0.0,2,0,0.0
include/llvm/Analysis/ModuleSummaryAnalysis.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/MustExecute.h,26,0,0.0,8,0,0.0,13,0,0.0
include/llvm/Analysis/ObjCARCAliasAnalysis.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/ObjCARCAnalysisUtils.h,28,0,0.0,30,0,0.0,4,0,0.0
include/llvm/Analysis/ObjCARCInstKind.h,6,0,0.0,6,0,0.0,1,0,0.0
include/llvm/Analysis/OptimizationRemarkEmitter.h,9,0,0.0,6,0,0.0,16,0,0.0
include/llvm/Analysis/PHITransAddr.h,14,0,0.0,8,0,0.0,4,0,0.0
include/llvm/Analysis/PhiValues.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/Analysis/PostDominators.h,14,0,0.0,2,0,0.0,8,0,0.0
include/llvm/Analysis/ProfileSummaryInfo.h,13,0,0.0,8,0,0.0,7,0,0.0
include/llvm/Analysis/RegionInfo.h,89,0,0.0,16,0,0.0,47,0,0.0
include/llvm/Analysis/RegionInfoImpl.h,426,0,0.0,358,0,0.0,60,0,0.0
include/llvm/Analysis/RegionIterator.h,86,0,0.0,66,0,0.0,52,0,0.0
include/llvm/Analysis/RegionPass.h,14,0,0.0,2,0,0.0,9,0,0.0
include/llvm/Analysis/ReplayInlineAdvisor.h,11,0,0.0,12,0,0.0,4,0,0.0
include/llvm/Analysis/ScalarEvolution.h,124,0,0.0,22,0,0.0,63,0,0.0
include/llvm/Analysis/ScalarEvolutionAliasAnalysis.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/ScalarEvolutionDivision.h,12,0,0.0,0,0,,12,0,0.0
include/llvm/Analysis/ScalarEvolutionExpressions.h,332,0,0.0,178,0,0.0,300,0,0.0
include/llvm/Analysis/ScopedNoAliasAA.h,1,0,0.0,0,0,,1,0,0.0
