filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
include/llvm/DebugInfo/DWARF/DWARFDebugLoc.h,10,0,0.0,0,0,,7,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugMacro.h,5,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugPubTable.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugRangeList.h,3,0,0.0,4,0,0.0,2,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDebugRnglists.h,4,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/DWARF/DWARFDie.h,47,0,0.0,16,0,0.0,24,0,0.0
include/llvm/DebugInfo/DWARF/DWARFExpression.h,29,0,0.0,20,0,0.0,13,0,0.0
include/llvm/DebugInfo/DWARF/DWARFFormValue.h,54,0,0.0,20,0,0.0,19,0,0.0
include/llvm/DebugInfo/DWARF/DWARFListTable.h,83,0,0.0,43,0,0.0,21,0,0.0
include/llvm/DebugInfo/DWARF/DWARFObject.h,48,0,0.0,0,0,,46,0,0.0
include/llvm/DebugInfo/DWARF/DWARFTypeUnit.h,6,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/DWARF/DWARFUnit.h,133,0,0.0,40,0,0.0,71,0,0.0
include/llvm/DebugInfo/DWARF/DWARFUnitIndex.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/DWARF/DWARFVerifier.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/MSF/IMSFFile.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/MSF/MSFBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/MSF/MSFCommon.h,36,0,0.0,18,0,0.0,11,0,0.0
include/llvm/DebugInfo/MSF/MSFError.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/MSF/MappedBlockStream.h,10,0,0.0,0,0,,7,0,0.0
include/llvm/DebugInfo/PDB/ConcreteSymbolEnumerator.h,11,0,0.0,0,0,,30,0,0.0
include/llvm/DebugInfo/PDB/GenericError.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBDataStream.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBEnumChildren.h,7,0,0.0,0,0,,16,0,0.0
include/llvm/DebugInfo/PDB/IPDBFrameData.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBInjectedSource.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBLineNumber.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBRawSymbol.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBSectionContrib.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBSession.h,3,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/PDB/IPDBSourceFile.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/IPDBTable.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/DbiModuleDescriptor.h,6,0,0.0,2,0,0.0,2,0,0.0
include/llvm/DebugInfo/PDB/Native/DbiModuleDescriptorBuilder.h,11,0,0.0,0,0,,6,0,0.0
include/llvm/DebugInfo/PDB/Native/DbiModuleList.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/DbiStream.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/DbiStreamBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/FormatUtil.h,3,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/GSIStreamBuilder.h,13,0,0.0,2,0,0.0,9,0,0.0
include/llvm/DebugInfo/PDB/Native/GlobalsStream.h,9,0,0.0,0,0,,6,0,0.0
include/llvm/DebugInfo/PDB/Native/HashTable.h,148,0,0.0,88,0,0.0,49,0,0.0
include/llvm/DebugInfo/PDB/Native/ISectionContribVisitor.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/InfoStreamBuilder.h,4,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/PDB/Native/InjectedSourceStream.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/Native/InputFile.h,4,0,0.0,0,0,,5,0,0.0
include/llvm/DebugInfo/PDB/Native/LinePrinter.h,15,0,0.0,4,0,0.0,13,0,0.0
include/llvm/DebugInfo/PDB/Native/ModuleDebugStream.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeFunctionSymbol.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeInlineSiteSymbol.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativePublicSymbol.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeRawSymbol.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeSession.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeSymbolEnumerator.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeArray.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeBuiltin.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeEnum.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeFunctionSig.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypePointer.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeTypedef.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeUDT.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/NativeTypeVTShape.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/PDBFile.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/PDBFileBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/Native/PublicsStream.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/Native/RawError.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/Native/SymbolCache.h,28,0,0.0,4,0,0.0,14,0,0.0
include/llvm/DebugInfo/PDB/Native/SymbolStream.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/Native/TpiHashing.h,18,0,0.0,4,0,0.0,4,0,0.0
include/llvm/DebugInfo/PDB/Native/TpiStream.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/Native/TpiStreamBuilder.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/PDBExtras.h,4,0,0.0,0,0,,11,0,0.0
include/llvm/DebugInfo/PDB/PDBSymDumper.h,16,0,0.0,0,0,,16,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbol.h,20,0,0.0,4,0,0.0,12,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolCompiland.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolCompilandDetails.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolCompilandEnv.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolData.h,6,0,0.0,0,0,,7,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolExe.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolFunc.h,4,0,0.0,0,0,,4,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolPublicSymbol.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolTypeBaseClass.h,6,0,0.0,0,0,,6,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolTypeBuiltin.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolTypeFunctionArg.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolTypePointer.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolTypeUDT.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/PDBSymbolTypeVTable.h,2,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/PDB/PDBTypes.h,22,0,0.0,4,0,0.0,12,0,0.0
include/llvm/DebugInfo/PDB/UDTLayout.h,11,0,0.0,4,0,0.0,11,0,0.0
include/llvm/DebugInfo/Symbolize/DIFetcher.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/DebugInfo/Symbolize/DIPrinter.h,9,0,0.0,2,0,0.0,6,0,0.0
include/llvm/DebugInfo/Symbolize/SymbolizableModule.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/DebugInfo/Symbolize/SymbolizableObjectFile.h,2,0,0.0,2,0,0.0,1,0,0.0
include/llvm/DebugInfo/Symbolize/Symbolize.h,7,0,0.0,2,0,0.0,6,0,0.0
include/llvm/Demangle/ItaniumDemangle.h,2849,0,0.0,1748,0,0.0,846,0,0.0
include/llvm/Demangle/ItaniumNodes.def,79,0,0.0,0,0,,78,0,0.0
include/llvm/Demangle/MicrosoftDemangle.h,54,0,0.0,34,0,0.0,34,0,0.0
include/llvm/Demangle/MicrosoftDemangleNodes.h,51,0,0.0,0,0,,35,0,0.0
include/llvm/Demangle/StringView.h,56,0,0.0,32,0,0.0,21,0,0.0
include/llvm/Demangle/Utility.h,89,0,0.0,22,0,0.0,34,0,0.0
include/llvm/IR/AbstractCallSite.h,27,0,0.0,28,0,0.0,17,0,0.0
include/llvm/IR/Argument.h,5,0,0.0,2,0,0.0,3,0,0.0
include/llvm/IR/AssemblyAnnotationWriter.h,8,0,0.0,0,0,,6,0,0.0
include/llvm/IR/Assumptions.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/IR/Attributes.h,136,26,0.191,18,3,0.16699999999999998,74,18,0.243
include/llvm/IR/AutoUpgrade.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/IR/BasicBlock.h,74,36,0.486,10,3,0.3,44,18,0.409
include/llvm/IR/CFG.h,93,29,0.312,22,3,0.136,65,16,0.24600000000000002
include/llvm/IR/Comdat.h,4,0,0.0,0,0,,5,0,0.0
include/llvm/IR/Constant.h,9,3,0.33299999999999996,0,0,,5,2,0.4
include/llvm/IR/ConstantFolder.h,114,0,0.0,28,0,0.0,45,0,0.0
include/llvm/IR/ConstantRange.h,29,0,0.0,10,0,0.0,13,0,0.0
include/llvm/IR/Constants.h,181,0,0.0,34,0,0.0,121,0,0.0
include/llvm/IR/ConstrainedOps.def,40,0,0.0,0,0,,0,0,
include/llvm/IR/DIBuilder.h,9,0,0.0,2,0,0.0,4,0,0.0
include/llvm/IR/DataLayout.h,137,6,0.044000000000000004,37,0,0.0,37,3,0.081
include/llvm/IR/DebugInfo.h,8,0,0.0,0,0,,4,0,0.0
include/llvm/IR/DebugInfoFlags.def,45,0,0.0,90,0,0.0,0,0,
include/llvm/IR/DebugInfoMetadata.h,904,0,0.0,112,0,0.0,615,0,0.0
include/llvm/IR/DebugLoc.h,6,4,0.667,0,0,,6,4,0.667
include/llvm/IR/DerivedTypes.h,133,16,0.12,35,0,0.0,64,11,0.172
include/llvm/IR/DerivedUser.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/IR/DiagnosticHandler.h,8,3,0.375,2,0,0.0,3,2,0.667
include/llvm/IR/DiagnosticInfo.h,99,0,0.0,19,0,0.0,64,0,0.0
include/llvm/IR/DiagnosticPrinter.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/IR/Dominators.h,20,1,0.05,0,0,,17,1,0.059000000000000004
include/llvm/IR/FMF.h,41,0,0.0,4,0,0.0,25,0,0.0
include/llvm/IR/FPEnv.h,6,0,0.0,12,0,0.0,3,0,0.0
include/llvm/IR/Function.h,152,78,0.513,34,6,0.17600000000000002,87,41,0.47100000000000003
include/llvm/IR/GCStrategy.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/IR/GVMaterializer.h,2,2,1.0,0,0,,2,2,1.0
include/llvm/IR/GetElementPtrTypeIterator.h,46,0,0.0,6,0,0.0,38,0,0.0
include/llvm/IR/GlobalAlias.h,13,0,0.0,10,0,0.0,10,0,0.0
include/llvm/IR/GlobalIFunc.h,16,0,0.0,8,0,0.0,11,0,0.0
include/llvm/IR/GlobalObject.h,35,28,0.8,14,3,0.214,12,9,0.75
include/llvm/IR/GlobalValue.h,164,75,0.457,88,11,0.125,75,35,0.467
include/llvm/IR/GlobalVariable.h,40,2,0.05,14,0,0.0,19,1,0.053
include/llvm/IR/IRBuilder.h,614,0,0.0,236,0,0.0,210,0,0.0
include/llvm/IR/IRBuilderFolder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/IR/InlineAsm.h,15,0,0.0,6,0,0.0,12,0,0.0
include/llvm/IR/InstIterator.h,47,27,0.574,12,7,0.583,28,10,0.35700000000000004
include/llvm/IR/InstVisitor.h,115,20,0.174,89,3,0.034,496,16,0.032
include/llvm/IR/InstrTypes.h,465,4,0.009000000000000001,237,3,0.013000000000000001,220,1,0.005
include/llvm/IR/Instruction.def,67,1,0.015,130,1,0.008,670,2,0.003
include/llvm/IR/Instruction.h,96,21,0.21899999999999997,70,6,0.086,74,12,0.162
include/llvm/IR/Instructions.h,1072,15,0.013999999999999999,548,2,0.004,590,9,0.015
include/llvm/IR/IntrinsicInst.h,298,6,0.02,154,3,0.019,112,3,0.027000000000000003
include/llvm/IR/Intrinsics.h,23,0,0.0,50,0,0.0,7,0,0.0
include/llvm/IR/LLVMContext.h,1,0,0.0,0,0,,2,0,0.0
include/llvm/IR/LLVMRemarkStreamer.h,7,0,0.0,0,0,,10,0,0.0
include/llvm/IR/LegacyPassManager.h,2,0,0.0,2,0,0.0,5,0,0.0
include/llvm/IR/LegacyPassManagers.h,63,0,0.0,8,0,0.0,32,0,0.0
include/llvm/IR/LegacyPassNameParser.h,19,0,0.0,10,0,0.0,7,0,0.0
include/llvm/IR/MDBuilder.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/IR/Metadata.def,35,30,0.857,303,60,0.198,35,0,0.0
include/llvm/IR/Metadata.h,273,5,0.018000000000000002,126,1,0.008,293,2,0.006999999999999999
include/llvm/IR/Module.h,123,55,0.447,14,0,0.0,79,43,0.544
include/llvm/IR/ModuleSlotTracker.h,3,1,0.33299999999999996,0,0,,3,1,0.33299999999999996
include/llvm/IR/ModuleSummaryIndex.h,441,28,0.063,190,8,0.042,163,6,0.037000000000000005
include/llvm/IR/NoFolder.h,104,0,0.0,24,0,0.0,43,0,0.0
include/llvm/IR/OperandTraits.h,18,4,0.222,0,0,,82,2,0.024
include/llvm/IR/Operator.h,176,0,0.0,93,0,0.0,68,0,0.0
include/llvm/IR/OptBisect.h,10,0,0.0,0,0,,7,0,0.0
include/llvm/IR/PassInstrumentation.h,51,0,0.0,36,0,0.0,29,0,0.0
include/llvm/IR/PassManager.h,207,0,0.0,86,0,0.0,266,0,0.0
include/llvm/IR/PassManagerImpl.h,53,0,0.0,30,0,0.0,10,0,0.0
include/llvm/IR/PatternMatch.h,614,0,0.0,422,0,0.0,1639,0,0.0
include/llvm/IR/PredIteratorCache.h,21,0,0.0,4,0,0.0,4,0,0.0
include/llvm/IR/ProfileSummary.h,19,0,0.0,2,0,0.0,14,0,0.0
include/llvm/IR/PseudoProbe.h,14,0,0.0,8,0,0.0,5,0,0.0
include/llvm/IR/SSAContext.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/IR/Statepoint.h,6,0,0.0,6,0,0.0,2,0,0.0
include/llvm/IR/SymbolTableListTraits.h,12,12,1.0,2,1,0.5,30,8,0.267
include/llvm/IR/TrackingMDRef.h,58,9,0.155,12,1,0.083,31,7,0.226
include/llvm/IR/Type.h,82,36,0.439,62,9,0.145,57,23,0.40399999999999997
include/llvm/IR/TypeFinder.h,5,0,0.0,0,0,,5,0,0.0
include/llvm/IR/Use.h,23,0,0.0,6,0,0.0,14,0,0.0
include/llvm/IR/UseListOrder.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/IR/User.h,82,29,0.354,34,7,0.20600000000000002,110,14,0.127
include/llvm/IR/VPIntrinsics.def,82,0,0.0,0,0,,0,0,
include/llvm/IR/Value.def,28,0,0.0,8,0,0.0,0,0,
include/llvm/IR/Value.h,221,67,0.303,58,7,0.121,140,45,0.321
include/llvm/IR/ValueHandle.h,160,35,0.21899999999999997,40,11,0.275,122,13,0.107
include/llvm/IR/ValueMap.h,85,0,0.0,12,0,0.0,74,0,0.0
include/llvm/IR/ValueSymbolTable.h,9,7,0.778,6,2,0.33299999999999996,6,5,0.833
include/llvm/IR/VectorBuilder.h,3,0,0.0,0,0,,1,0,0.0
include/llvm/IR/Verifier.h,2,2,1.0,0,0,,1,1,1.0
include/llvm/MC/ConstantPools.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/MC/LaneBitmask.h,26,0,0.0,0,0,,17,0,0.0
include/llvm/MC/MCAsmBackend.h,33,0,0.0,0,0,,20,0,0.0
include/llvm/MC/MCAsmInfo.h,127,0,0.0,8,0,0.0,90,0,0.0
include/llvm/MC/MCAsmInfoCOFF.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/MC/MCAsmLayout.h,4,0,0.0,0,0,,3,0,0.0
include/llvm/MC/MCAsmMacro.h,29,0,0.0,10,0,0.0,15,0,0.0
include/llvm/MC/MCAssembler.h,73,0,0.0,4,0,0.0,45,0,0.0
include/llvm/MC/MCCodeEmitter.h,4,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCCodeView.h,20,0,0.0,6,0,0.0,14,0,0.0
include/llvm/MC/MCContext.h,148,0,0.0,30,0,0.0,69,0,0.0
include/llvm/MC/MCDwarf.h,139,0,0.0,56,0,0.0,66,0,0.0
include/llvm/MC/MCELFObjectWriter.h,24,0,0.0,0,0,,14,0,0.0
include/llvm/MC/MCELFStreamer.h,9,0,0.0,0,0,,3,0,0.0
include/llvm/MC/MCExpr.h,62,0,0.0,8,0,0.0,35,0,0.0
include/llvm/MC/MCFixup.h,24,0,0.0,15,0,0.0,7,0,0.0
include/llvm/MC/MCFragment.h,156,1,0.006,12,0,0.0,108,1,0.009000000000000001
include/llvm/MC/MCInst.h,30,0,0.0,12,0,0.0,18,0,0.0
include/llvm/MC/MCInstPrinter.h,4,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCInstrAnalysis.h,23,0,0.0,0,0,,12,0,0.0
include/llvm/MC/MCInstrDesc.h,23,0,0.0,16,0,0.0,15,0,0.0
include/llvm/MC/MCInstrInfo.h,6,0,0.0,4,0,0.0,2,0,0.0
include/llvm/MC/MCInstrItineraries.h,13,0,0.0,0,0,,5,0,0.0
include/llvm/MC/MCLabel.h,3,0,0.0,0,0,,3,0,0.0
include/llvm/MC/MCLinkerOptimizationHint.h,39,0,0.0,24,0,0.0,10,0,0.0
include/llvm/MC/MCMachObjectWriter.h,18,0,0.0,4,0,0.0,11,0,0.0
include/llvm/MC/MCObjectFileInfo.h,36,0,0.0,2,0,0.0,29,0,0.0
include/llvm/MC/MCObjectStreamer.h,10,0,0.0,0,0,,5,0,0.0
include/llvm/MC/MCObjectWriter.h,7,0,0.0,0,0,,7,0,0.0
include/llvm/MC/MCParser/AsmLexer.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/MC/MCParser/MCAsmLexer.h,39,0,0.0,6,0,0.0,20,0,0.0
include/llvm/MC/MCParser/MCAsmParser.h,26,0,0.0,2,0,0.0,18,0,0.0
include/llvm/MC/MCParser/MCAsmParserExtension.h,26,0,0.0,0,0,,153,0,0.0
include/llvm/MC/MCParser/MCParsedAsmOperand.h,11,0,0.0,0,0,,9,0,0.0
include/llvm/MC/MCParser/MCTargetAsmParser.h,47,0,0.0,22,0,0.0,30,0,0.0
include/llvm/MC/MCPseudoProbe.h,40,0,0.0,8,0,0.0,27,0,0.0
include/llvm/MC/MCRegister.h,16,0,0.0,4,0,0.0,9,0,0.0
include/llvm/MC/MCRegisterInfo.h,76,0,0.0,26,0,0.0,27,0,0.0
include/llvm/MC/MCSPIRVObjectWriter.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/MC/MCSPIRVStreamer.h,9,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCSchedule.h,22,0,0.0,22,0,0.0,10,0,0.0
include/llvm/MC/MCSection.h,37,0,0.0,2,0,0.0,29,0,0.0
include/llvm/MC/MCSectionCOFF.h,14,0,0.0,4,0,0.0,7,0,0.0
include/llvm/MC/MCSectionELF.h,19,0,0.0,2,0,0.0,13,0,0.0
include/llvm/MC/MCSectionGOFF.h,6,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCSectionMachO.h,13,0,0.0,2,0,0.0,6,0,0.0
include/llvm/MC/MCSectionSPIRV.h,7,0,0.0,0,0,,5,0,0.0
include/llvm/MC/MCSectionWasm.h,20,0,0.0,10,0,0.0,12,0,0.0
include/llvm/MC/MCSectionXCOFF.h,36,0,0.0,22,0,0.0,13,0,0.0
include/llvm/MC/MCStreamer.h,94,0,0.0,20,0,0.0,51,0,0.0
include/llvm/MC/MCSubtargetInfo.h,28,0,0.0,4,0,0.0,15,0,0.0
include/llvm/MC/MCSymbol.h,117,0,0.0,72,0,0.0,46,0,0.0
include/llvm/MC/MCSymbolCOFF.h,19,0,0.0,0,0,,10,0,0.0
include/llvm/MC/MCSymbolELF.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCSymbolGOFF.h,2,0,0.0,0,0,,1,0,0.0
include/llvm/MC/MCSymbolMachO.h,41,0,0.0,14,0,0.0,15,0,0.0
include/llvm/MC/MCSymbolWasm.h,53,0,0.0,18,0,0.0,37,0,0.0
include/llvm/MC/MCSymbolXCOFF.h,24,0,0.0,8,0,0.0,10,0,0.0
include/llvm/MC/MCValue.h,19,0,0.0,4,0,0.0,7,0,0.0
include/llvm/MC/MCWasmObjectWriter.h,6,0,0.0,0,0,,5,0,0.0
include/llvm/MC/MCWasmStreamer.h,8,0,0.0,0,0,,3,0,0.0
include/llvm/MC/MCWin64EH.h,12,0,0.0,8,0,0.0,6,0,0.0
include/llvm/MC/MCWinCOFFObjectWriter.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCWinCOFFStreamer.h,3,0,0.0,0,0,,1,0,0.0
include/llvm/MC/MCWinEH.h,19,0,0.0,12,0,0.0,7,0,0.0
include/llvm/MC/MCXCOFFObjectWriter.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/MC/MCXCOFFStreamer.h,4,0,0.0,0,0,,2,0,0.0
include/llvm/MC/SectionKind.h,43,0,0.0,48,0,0.0,30,0,0.0
include/llvm/MC/StringTableBuilder.h,6,4,0.667,0,0,,5,4,0.8
include/llvm/MC/SubtargetFeature.h,47,0,0.0,16,0,0.0,16,0,0.0
include/llvm/MC/TargetRegistry.h,50,0,0.0,20,0,0.0,19,0,0.0
include/llvm/Object/Archive.h,69,0,0.0,16,0,0.0,37,0,0.0
include/llvm/Object/Binary.h,47,0,0.0,50,0,0.0,27,0,0.0
include/llvm/Object/COFF.h,163,0,0.0,130,0,0.0,58,0,0.0
include/llvm/Object/COFFImportFile.h,20,0,0.0,4,0,0.0,8,0,0.0
include/llvm/Object/Decompressor.h,3,0,0.0,0,0,,1,0,0.0
include/llvm/Object/ELF.h,554,0,0.0,305,0,0.0,268,0,0.0
include/llvm/Object/ELFObjectFile.h,648,0,0.0,418,0,0.0,296,0,0.0
include/llvm/Object/ELFTypes.h,111,0,0.0,34,0,0.0,113,0,0.0
include/llvm/Object/Error.h,6,0,0.0,0,0,,3,0,0.0
include/llvm/Object/FaultMapParser.h,36,0,0.0,8,0,0.0,15,0,0.0
include/llvm/Object/IRObjectFile.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/Object/IRSymtab.h,16,0,0.0,0,0,,15,0,0.0
include/llvm/Object/MachO.h,20,0,0.0,0,0,,10,0,0.0
include/llvm/Object/MachOUniversal.h,48,0,0.0,18,0,0.0,20,0,0.0
include/llvm/Object/MachOUniversalWriter.h,10,0,0.0,2,0,0.0,5,0,0.0
include/llvm/Object/Minidump.h,21,0,0.0,2,0,0.0,6,0,0.0
include/llvm/Object/ModuleSymbolTable.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Object/ObjectFile.h,122,0,0.0,12,0,0.0,57,0,0.0
include/llvm/Object/OffloadBinary.h,8,0,0.0,2,0,0.0,2,0,0.0
include/llvm/Object/SymbolicFile.h,38,0,0.0,0,0,,47,0,0.0
include/llvm/Object/TapiFile.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/Object/TapiUniversal.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Object/Wasm.h,30,0,0.0,0,0,,17,0,0.0
include/llvm/Object/WindowsResource.h,27,0,0.0,0,0,,25,0,0.0
include/llvm/Object/XCOFFObjectFile.h,41,0,0.0,28,0,0.0,22,0,0.0
include/llvm/Pass.h,15,0,0.0,0,0,,13,0,0.0
include/llvm/PassAnalysisSupport.h,64,0,0.0,32,0,0.0,100,0,0.0
include/llvm/PassInfo.h,23,0,0.0,6,0,0.0,13,0,0.0
include/llvm/PassRegistry.h,3,0,0.0,0,0,,4,0,0.0
include/llvm/PassSupport.h,5,0,0.0,0,0,,85,0,0.0
include/llvm/ProfileData/GCOV.h,88,0,0.0,42,0,0.0,23,0,0.0
include/llvm/ProfileData/InstrProf.h,214,0,0.0,62,0,0.0,69,0,0.0
include/llvm/ProfileData/InstrProfCorrelator.h,16,0,0.0,4,0,0.0,19,0,0.0
include/llvm/ProfileData/InstrProfData.inc,56,0,0.0,16,0,0.0,11,0,0.0
include/llvm/ProfileData/InstrProfReader.h,139,0,0.0,20,0,0.0,92,0,0.0
include/llvm/ProfileData/MIBEntryDef.inc,19,0,0.0,0,0,,0,0,
include/llvm/ProfileData/MemProf.h,169,0,0.0,78,0,0.0,51,0,0.0
include/llvm/ProfileData/MemProfData.inc,20,0,0.0,18,0,0.0,4,0,0.0
include/llvm/ProfileData/ProfileCommon.h,13,0,0.0,2,0,0.0,5,0,0.0
include/llvm/ProfileData/RawMemProfReader.h,10,0,0.0,2,0,0.0,4,0,0.0
include/llvm/ProfileData/SampleProf.h,312,0,0.0,151,0,0.0,93,0,0.0
include/llvm/ProfileData/SampleProfReader.h,66,0,0.0,14,0,0.0,33,0,0.0
include/llvm/ProfileData/SampleProfWriter.h,42,0,0.0,12,0,0.0,24,0,0.0
include/llvm/Remarks/BitstreamRemarkParser.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Remarks/BitstreamRemarkSerializer.h,8,0,0.0,0,0,,2,0,0.0
include/llvm/Remarks/Remark.h,23,0,0.0,18,0,0.0,10,0,0.0
include/llvm/Remarks/RemarkLinker.h,5,0,0.0,4,0,0.0,2,0,0.0
include/llvm/Remarks/RemarkParser.h,9,0,0.0,0,0,,8,0,0.0
include/llvm/Remarks/RemarkSerializer.h,5,0,0.0,0,0,,4,0,0.0
include/llvm/Remarks/RemarkStreamer.h,1,0,0.0,0,0,,1,0,0.0
